seg,word,cate,v,a
0,army,0,4.72,5.03
0,disappointed,0,2.65,4.47
1,army,0,4.72,5.03
1,anger,0,2.5,5.93
1,rude,0,2.5,6.31
1,deserve,0,6.77,4.5
4,army,0,4.72,5.03
5,hit,0,3.95,5.48
6,hot,0,5.73,4.76
10,science,0,4.76,4.71
11,science,0,4.76,4.71
15,waffle,0,6.75,4.5
16,jealous,0,2.38,5.9
18,hot,0,5.73,4.76
18,jealous,0,2.38,5.9
19,hot,0,5.73,4.76
20,deserve,0,6.77,4.5
22,hot,0,5.73,4.76
22,deserve,0,6.77,4.5
23,jealous,0,2.38,5.9
28,deserve,0,6.77,4.5
31,deserve,0,6.77,4.5
33,trouble,0,3.03,6.85
35,sucker,0,4,4.74
40,waffle,0,6.75,4.5
45,hot,0,5.73,4.76
80,guilty,0,3.09,4.65
86,waffle,0,6.75,4.5
86,shark,0,4.02,5.27
88,suck,0,3.71,5.6
89,deserve,0,6.77,4.5
90,stairs,0,4.67,5
91,deny,0,3.81,5.63
91,deny,0,3.81,5.63
107,row,0,5.48,3.39
120,waffle,0,6.75,4.5
128,smell,0,6.39,5.24
129,crunch,0,4.79,4.17
129,crunch,0,4.79,4.17
135,science,0,4.76,4.71
135,hot,0,5.73,4.76
147,grumpy,0,2.81,5.05
147,blame,0,2.94,4.81
147,rough,0,4.74,5.33
151,annoying,0,3,5.55
151,argue,0,3.15,6.67
161,kick,0,4.55,5.1
163,bout,0,3.9,3.67
164,bout,0,3.9,3.67
168,hit,0,3.95,5.48
168,battery,0,4.26,3.95
168,science,0,4.76,4.71
170,blame,0,2.94,4.81
178,kick,0,4.55,5.1
180,kick,0,4.55,5.1
181,damn,0,4.32,5.1
183,lie,0,2.39,4.81
183,betrayal,0,2.24,5.71
187,kick,0,4.55,5.1
188,thump,0,4.42,4
188,thump,0,4.42,4
195,science,0,4.76,4.71
0,wait,1,4.55,3.62
0,world,1,6.5,5.32
0,wait,1,4.55,3.62
1,time,1,5.6,3.41
1,time,1,5.6,3.41
2,spree,1,5.95,5
2,neighborhood,1,6.09,4.05
4,weigh,1,4.32,4.14
4,wait,1,4.55,3.62
4,ready,1,6.64,3.9
6,highway,1,5.92,5.16
6,wait,1,4.55,3.62
7,city,1,6.03,5.24
9,time,1,5.6,3.41
10,world,1,6.5,5.32
11,time,1,5.6,3.41
12,thought,1,6.76,4.16
12,world,1,6.5,5.32
12,world,1,6.5,5.32
12,world,1,6.5,5.32
15,hands,1,5.93,5.21
15,hockey,1,5.39,5
15,store,1,5.94,3.43
15,store,1,5.94,3.43
15,time,1,5.6,3.41
16,realize,1,6.25,5.26
16,time,1,5.6,3.41
16,hard,1,5.22,5.12
16,time,1,5.6,3.41
17,ready,1,6.64,3.9
17,hurry,1,4.32,5.62
17,permit,1,5.47,5.08
20,sunset,1,7.46,4.68
20,time,1,5.6,3.41
20,wait,1,4.55,3.62
20,chest,1,6.26,5.44
20,thought,1,6.76,4.16
22,world,1,6.5,5.32
22,news,1,5.3,5.17
22,hands,1,5.93,5.21
23,world,1,6.5,5.32
24,wait,1,4.55,3.62
28,thought,1,6.76,4.16
28,album,1,6.21,5.18
28,album,1,6.21,5.18
28,world,1,6.5,5.32
30,album,1,6.21,5.18
30,wait,1,4.55,3.62
31,wait,1,4.55,3.62
33,wait,1,4.55,3.62
35,time,1,5.6,3.41
39,wonder,1,6.03,5
40,train,1,5.59,4.85
43,attempt,1,6,4.94
43,bible,1,5.97,4.57
43,wonder,1,6.03,5
43,time,1,5.6,3.41
44,wait,1,4.55,3.62
45,airport,1,6,5.5
50,water,1,6.61,4.97
51,time,1,5.6,3.41
51,sunset,1,7.46,4.68
51,world,1,6.5,5.32
52,thought,1,6.76,4.16
54,sunset,1,7.46,4.68
54,album,1,6.21,5.18
56,hands,1,5.93,5.21
61,wait,1,4.55,3.62
65,world,1,6.5,5.32
66,time,1,5.6,3.41
66,time,1,5.6,3.41
66,city,1,6.03,5.24
67,time,1,5.6,3.41
68,butt,1,5.36,5.2
70,world,1,6.5,5.32
71,hungry,1,3.54,5.6
72,anticipation,1,5.26,5.39
81,hard,1,5.22,5.12
83,world,1,6.5,5.32
84,city,1,6.03,5.24
89,wait,1,4.55,3.62
89,puppy,1,7.85,5.84
89,wait,1,4.55,3.62
95,bridge,1,5.26,5.03
95,bridge,1,5.26,5.03
95,bridge,1,5.26,5.03
95,time,1,5.6,3.41
96,wait,1,4.55,3.62
99,ready,1,6.64,3.9
100,start,1,6.41,4.81
101,wait,1,4.55,3.62
101,album,1,6.21,5.18
102,time,1,5.6,3.41
105,world,1,6.5,5.32
108,album,1,6.21,5.18
110,time,1,5.6,3.41
113,ready,1,6.64,3.9
114,time,1,5.6,3.41
116,time,1,5.6,3.41
118,scene,1,5.59,4.93
127,scent,1,6.3,5.3
129,bridge,1,5.26,5.03
129,bridge,1,5.26,5.03
130,thought,1,6.76,4.16
132,ready,1,6.64,3.9
133,time,1,5.6,3.41
135,world,1,6.5,5.32
135,immature,1,3.17,4.21
138,sunset,1,7.46,4.68
139,time,1,5.6,3.41
140,world,1,6.5,5.32
142,ready,1,6.64,3.9
143,lesson,1,5.57,3.8
144,time,1,5.6,3.41
144,wait,1,4.55,3.62
147,scene,1,5.59,4.93
147,draft,1,5.3,4.1
149,hurry,1,4.32,5.62
149,ready,1,6.64,3.9
