time,word,wordId,cate,v,a
10/3/2012,song,12,0,7.1,6.07
10/3/2012,like,19,0,7.52,6.63
10/3/2012,top,20,0,6,4.33
10/3/2012,day,24,0,6.66,5
10/4/2012,perfection,28,0,6.59,5.55
10/5/2012,me,39,0,8.06,5.97
10/5/2012,day,41,0,6.66,5
10/5/2012,wings,48,0,6.39,5.33
10/5/2012,lips,50,0,7.13,6.27
10/5/2012,fall,54,0,3.89,4.24
10/5/2012,fun,55,0,8.37,6.32
10/5/2012,right,60,0,6.45,4.79
10/5/2012,stud,72,0,4.89,5.14
10/5/2012,birthday,75,0,6.37,4.6
10/6/2012,love,88,0,8,5.36
10/6/2012,know,91,0,6.93,5.77
10/6/2012,sure,96,0,6.53,5
10/6/2012,door,98,0,5.13,3.8
10/6/2012,hair,101,0,5.56,4.48
10/7/2012,people,112,0,7.33,5.94
10/7/2012,give,113,0,7.13,5.33
10/8/2012,learn,132,0,6.85,4.8
10/9/2012,part,139,0,5.11,3.82
10/10/2012,god,147,0,5.9,5.56
10/10/2012,blessed,148,0,7.5,3.55
10/10/2012,vote,158,0,5.24,5.05
10/10/2012,house,159,0,7.26,4.56
10/12/2012,music,175,0,7.67,5.57
10/13/2012,love,178,0,8,5.36
10/13/2012,friendship,188,0,7.76,5.2
10/13/2012,hilarious,204,0,7.8,6.11
10/14/2012,swear,205,0,3.44,5.05
10/18/2012,face,226,0,6.39,5.04
10/19/2012,night,241,0,6.06,5.94
10/19/2012,high,250,0,6.62,5.56
10/19/2012,like,256,0,7.52,6.63
10/19/2012,nice,261,0,6.55,4.38
10/19/2012,brick,263,0,4.79,4.46
10/19/2012,love,267,0,8,5.36
10/19/2012,name,270,0,5.55,4.25
10/20/2012,moment,271,0,5.76,3.83
10/20/2012,kids,277,0,6.91,5.27
10/20/2012,ad,278,0,5,4.29
10/20/2012,like,281,0,7.52,6.63
10/21/2012,phase,283,0,5.17,3.98
10/21/2012,people,285,0,7.33,5.94
10/21/2012,me,286,0,8.06,5.97
10/22/2012,fight,306,0,3.54,6.33
10/22/2012,game,309,0,6.98,5.89
10/22/2012,good,311,0,7.89,3.66
10/22/2012,obsessed,313,0,3.6,6.24
10/24/2012,calm,328,0,6.89,1.67
10/25/2012,fear,333,0,2.93,6.14
10/25/2012,wonder,339,0,6.03,5
10/25/2012,name,341,0,5.55,4.25
10/26/2012,like,352,0,7.52,6.63
10/26/2012,me,361,0,8.06,5.97
10/26/2012,trouble,362,0,3.03,6.85
10/26/2012,me,364,0,8.06,5.97
10/26/2012,gorgeous,366,0,7.57,4.92
10/27/2012,lord,379,0,5.59,3.81
10/27/2012,proud,399,0,7,5.55
10/29/2012,style,420,0,6.82,5.36
10/29/2012,hurry,423,0,4.32,5.62
10/31/2012,month,436,0,5.15,4.03
10/31/2012,stupid,440,0,2.84,4.34
10/31/2012,bored,445,0,2.95,2.83
11/1/2012,lion,452,0,5.84,5.29
11/2/2012,gold,465,0,7.28,6.35
11/7/2012,me,515,0,8.06,5.97
11/7/2012,tree,518,0,7.59,2.67
11/8/2012,imagine,524,0,7.32,5.98
11/9/2012,time,527,0,5.6,3.41
11/9/2012,bad,531,0,3.24,4.86
11/9/2012,night,533,0,6.06,5.94
11/11/2012,special,539,0,7.5,3.48
11/12/2012,night,551,0,6.06,5.94
11/14/2012,enchanted,567,0,7.16,5.27
11/14/2012,want,579,0,5.25,6
11/14/2012,immature,590,0,3.17,4.21
11/15/2012,boring,599,0,2.71,2.85
11/15/2012,day,606,0,6.66,5
11/16/2012,wish,609,0,7.09,5.16
11/16/2012,week,614,0,5.35,4.38
11/17/2012,me,635,0,8.06,5.97
11/17/2012,sleep,638,0,7.2,2.8
11/17/2012,kill,644,0,1.81,6.81
11/17/2012,party,646,0,7.86,6.69
11/18/2012,love,648,0,8,5.36
11/18/2012,week,653,0,5.35,4.38
11/18/2012,like,654,0,7.52,6.63
11/19/2012,know,662,0,6.93,5.77
11/19/2012,sigh,665,0,4.15,2.78
11/19/2012,friend,670,0,6.79,4.29
11/20/2012,day,673,0,6.66,5
11/20/2012,sleep,684,0,7.2,2.8
11/20/2012,day,686,0,6.66,5
11/21/2012,bum,700,0,3.64,4.39
11/21/2012,swift,707,0,5.83,4.88
11/21/2012,happy,712,0,8.47,6.05
11/22/2012,house,722,0,7.26,4.56
11/22/2012,thanksgiving,741,0,6.79,4.95
11/23/2012,people,757,0,7.33,5.94
11/24/2012,song,769,0,7.1,6.07
11/24/2012,like,770,0,7.52,6.63
11/24/2012,sad,774,0,1.61,4.13
11/24/2012,boy,795,0,5.84,4.11
11/25/2012,day,803,0,6.66,5
11/27/2012,blue,832,0,6.53,3.69
11/27/2012,sense,833,0,6.09,3.7
11/29/2012,like,849,0,7.52,6.63
11/29/2012,promise,852,0,6.64,3.9
12/1/2012,year,867,0,5.41,4.22
12/1/2012,festival,868,0,6.84,5.86
12/3/2012,good,886,0,7.89,3.66
12/4/2012,night,898,0,6.06,5.94
12/5/2012,month,902,0,5.15,4.03
12/6/2012,favorite,904,0,7.39,4.4
12/6/2012,ice,912,0,5.92,4.67
12/7/2012,like,925,0,7.52,6.63
12/7/2012,makeup,926,0,5.64,4.48
12/7/2012,want,928,0,5.25,6
12/8/2012,time,943,0,5.6,3.41
12/9/2012,jolly,956,0,7.41,5.57
12/10/2012,hope,967,0,7.48,5.29
12/11/2012,want,971,0,5.25,6
12/11/2012,like,975,0,7.52,6.63
12/12/2012,truck,983,0,5.16,3.76
12/12/2012,friend,986,0,6.79,4.29
12/15/2012,loud,1003,0,4.77,6.1
12/19/2012,know,1012,0,6.93,5.77
12/19/2012,paint,1016,0,5.62,4.1
12/20/2012,music,1029,0,7.67,5.57
12/20/2012,smile,1032,0,7.89,4.62
12/21/2012,christmas,1040,0,7.8,6.27
12/21/2012,know,1043,0,6.93,5.77
12/21/2012,music,1047,0,7.67,5.57
12/22/2012,right,1050,0,6.45,4.79
12/22/2012,die,1060,0,1.67,6.9
12/22/2012,want,1061,0,5.25,6
12/24/2012,me,1081,0,8.06,5.97
12/24/2012,people,1089,0,7.33,5.94
12/24/2012,taste,1091,0,6.66,5.22
12/24/2012,christmas,1100,0,7.8,6.27
12/24/2012,dinner,1101,0,6.4,3.85
12/25/2012,success,1105,0,7.49,5.8
12/26/2012,sure,1109,0,6.53,5
12/27/2012,bean,1121,0,5.35,3.97
12/28/2012,thing,1128,0,4.83,4.17
12/28/2012,hope,1132,0,7.48,5.29
12/29/2012,anxiety,1151,0,2.38,4.78
12/29/2012,complete,1154,0,8.17,5.75
12/31/2012,year,1167,0,5.41,4.22
12/31/2012,year,1168,0,5.41,4.22
12/31/2012,right,1173,0,6.45,4.79
12/31/2012,pull,1195,0,5.59,4.1
12/31/2012,wait,1202,0,4.55,3.62
1/2/2013,good,1212,0,7.89,3.66
1/2/2013,bridge,1223,0,5.26,5.03
1/4/2013,like,1238,0,7.52,6.63
1/5/2013,heart,1246,0,7.39,6.34
1/5/2013,mood,1251,0,5.6,4.73
1/7/2013,pretty,1265,0,7.7,5.5
1/8/2013,game,1291,0,6.98,5.89
1/8/2013,afraid,1294,0,2.25,5.12
1/9/2013,town,1298,0,5.93,4.29
1/10/2013,story,1303,0,6.63,5.37
1/10/2013,son,1306,0,6.39,5.71
1/10/2013,tall,1307,0,6.64,4.82
1/10/2013,listen,1308,0,5.93,4.45
1/10/2013,bell,1310,0,5.38,4.45
1/11/2013,fair,1313,0,7.14,3.29
1/11/2013,mood,1317,0,5.6,4.73
1/12/2013,game,1327,0,6.98,5.89
1/12/2013,wild,1333,0,5.94,5.9
1/19/2013,sad,1374,0,1.61,4.13
1/20/2013,thing,1381,0,4.83,4.17
1/21/2013,want,1386,0,5.25,6
1/22/2013,insane,1401,0,2.55,5.14
1/22/2013,die,1408,0,1.67,6.9
1/22/2013,love,1409,0,8,5.36
1/23/2013,world,1417,0,6.5,5.32
1/24/2013,kill,1423,0,1.81,6.81
1/25/2013,eat,1435,0,7.1,4.38
1/26/2013,buddy,1447,0,7.41,4.57
1/26/2013,bad,1450,0,3.24,4.86
1/26/2013,luck,1458,0,6.73,4.57
1/27/2013,guilty,1461,0,3.09,4.65
1/28/2013,like,1464,0,7.52,6.63
1/28/2013,blame,1468,0,2.94,4.81
1/29/2013,cry,1471,0,3.22,5.45
1/31/2013,beautiful,1482,0,7.61,5.71
2/2/2013,sweet,1495,0,7.77,4.14
2/3/2013,bowl,1514,0,5.33,3.47
2/3/2013,day,1517,0,6.66,5
2/3/2013,bee,1524,0,3.68,5.65
2/3/2013,huge,1526,0,5.39,5.75
2/5/2013,hopeless,1531,0,2.2,4.52
2/5/2013,friend,1539,0,6.79,4.29
2/6/2013,important,1550,0,6.82,4.71
2/7/2013,fire,1558,0,4.32,6.05
2/9/2013,awful,1568,0,2.28,4.86
2/9/2013,fun,1571,0,8.37,6.32
2/13/2013,day,1577,0,6.66,5
2/14/2013,time,1585,0,5.6,3.41
2/14/2013,change,1586,0,5.09,4.05
2/16/2013,music,1608,0,7.67,5.57
2/16/2013,people,1625,0,7.33,5.94
2/17/2013,emotional,1629,0,4.36,5.75
2/17/2013,music,1640,0,7.67,5.57
2/18/2013,me,1653,0,8.06,5.97
2/24/2013,funny,1674,0,8.56,7
2/24/2013,family,1675,0,7.65,4.8
2/26/2013,me,1683,0,8.06,5.97
2/28/2013,vote,1707,0,5.24,5.05
3/3/2013,sunset,1719,0,7.46,4.68
3/3/2013,love,1732,0,8,5.36
3/3/2013,album,1734,0,6.21,5.18
3/3/2013,chicken,1736,0,6.17,3.2
3/7/2013,case,1760,0,5.18,4.14
3/7/2013,know,1761,0,6.93,5.77
3/7/2013,sure,1774,0,6.53,5
3/7/2013,like,1776,0,7.52,6.63
3/8/2013,brain,1781,0,6.7,5.53
3/8/2013,sunset,1784,0,7.46,4.68
3/10/2013,wish,1796,0,7.09,5.16
3/10/2013,like,1798,0,7.52,6.63
3/11/2013,spring,1810,0,7.76,5.67
3/12/2013,me,1815,0,8.06,5.97
3/14/2013,kiss,1834,0,7.78,6.05
3/14/2013,love,1836,0,8,5.36
3/16/2013,fly,1848,0,7.29,6.64
3/16/2013,hot,1849,0,5.73,4.76
3/16/2013,stealth,1853,0,5.45,4.22
3/17/2013,save,1857,0,7.26,4.62
3/17/2013,wait,1859,0,4.55,3.62
3/19/2013,me,1892,0,8.06,5.97
3/19/2013,me,1893,0,8.06,5.97
3/22/2013,me,1914,0,8.06,5.97
3/23/2013,haven,1921,0,6.36,2.9
3/23/2013,train,1922,0,5.59,4.85
3/23/2013,house,1926,0,7.26,4.56
3/24/2013,stroke,1930,0,4.19,4.95
3/24/2013,woman,1931,0,6.64,5.32
3/24/2013,love,1944,0,8,5.36
3/24/2013,good,1947,0,7.89,3.66
3/24/2013,me,1951,0,8.06,5.97
3/25/2013,time,1957,0,5.6,3.41
3/25/2013,leave,1959,0,4.68,4.48
3/26/2013,braces,1981,0,3.17,5.24
3/27/2013,hate,1985,0,1.96,6.26
3/28/2013,good,2002,0,7.89,3.66
3/28/2013,loved,2004,0,8.64,6.38
3/28/2013,friend,2010,0,6.79,4.29
3/29/2013,like,2013,0,7.52,6.63
3/30/2013,break,2028,0,5.1,4.71
3/30/2013,blonde,2032,0,6.18,4.86
3/30/2013,people,2047,0,7.33,5.94
4/1/2013,madness,2074,0,2.86,6.25
4/2/2013,food,2078,0,7.52,4.69
4/2/2013,hide,2081,0,4.9,3.52
4/2/2013,explain,2092,0,5.41,4
4/3/2013,spider,2102,0,3.35,6.91
4/4/2013,thing,2118,0,4.83,4.17
4/4/2013,know,2128,0,6.93,5.77
4/4/2013,traffic,2140,0,2.27,5.8
4/5/2013,people,2171,0,7.33,5.94
4/5/2013,gorgeous,2176,0,7.57,4.92
4/6/2013,plane,2187,0,6.43,6.14
4/6/2013,die,2194,0,1.67,6.9
4/7/2013,cute,2202,0,7.56,5.05
4/7/2013,me,2210,0,8.06,5.97
4/7/2013,love,2213,0,8,5.36
4/8/2013,night,2239,0,6.06,5.94
4/9/2013,like,2243,0,7.52,6.63
4/11/2013,like,2268,0,7.52,6.63
4/12/2013,first,2289,0,6.89,6.14
4/12/2013,lead,2291,0,5.56,3.95
4/12/2013,golf,2302,0,4.83,3.9
4/13/2013,jealous,2309,0,2.38,5.9
4/13/2013,like,2311,0,7.52,6.63
4/13/2013,sister,2317,0,7.46,5.43
4/14/2013,me,2334,0,8.06,5.97
4/14/2013,movie,2345,0,6.86,4.93
4/14/2013,friend,2346,0,6.79,4.29
4/14/2013,adorable,2348,0,7.4,4.66
4/14/2013,like,2351,0,7.52,6.63
4/14/2013,want,2357,0,5.25,6
4/14/2013,love,2361,0,8,5.36
4/15/2013,bad,2363,0,3.24,4.86
4/15/2013,loud,2370,0,4.77,6.1
4/15/2013,sick,2371,0,2.29,4.67
4/15/2013,like,2374,0,7.52,6.63
4/15/2013,day,2386,0,6.66,5
4/16/2013,calm,2388,0,6.89,1.67
4/16/2013,good,2390,0,7.89,3.66
4/17/2013,vacancy,2412,0,5.05,3.68
4/17/2013,funny,2417,0,8.56,7
4/17/2013,want,2420,0,5.25,6
4/17/2013,real,2421,0,7.09,4.05
4/17/2013,good,2441,0,7.89,3.66
4/17/2013,wish,2443,0,7.09,5.16
4/17/2013,alarm,2447,0,3.86,6.85
4/18/2013,trip,2456,0,7,5.33
4/20/2013,wait,2482,0,4.55,3.62
4/21/2013,music,2486,0,7.67,5.57
4/21/2013,faith,2488,0,6.44,3.4
4/21/2013,late,2494,0,3.32,5.57
4/21/2013,cathedral,2502,0,6,3.45
4/22/2013,me,2515,0,8.06,5.97
4/22/2013,dreadful,2518,0,2.6,4.5
4/22/2013,music,2526,0,7.67,5.57
4/22/2013,memories,2527,0,7.48,6.1
4/22/2013,beauty,2531,0,7.58,4.89
4/22/2013,happy,2536,0,8.47,6.05
4/22/2013,birthday,2537,0,6.37,4.6
4/23/2013,love,2544,0,8,5.36
4/23/2013,first,2549,0,6.89,6.14
4/24/2013,gorgeous,2553,0,7.57,4.92
4/25/2013,tomato,2569,0,5.45,3.79
4/25/2013,short,2573,0,4.64,3.75
4/25/2013,favorite,2575,0,7.39,4.4
4/25/2013,nature,2580,0,7.65,4.37
4/26/2013,ready,2599,0,6.64,3.9
4/27/2013,trust,2604,0,7.24,4.3
4/27/2013,home,2608,0,7.91,4.21
4/27/2013,stupid,2613,0,2.84,4.34
4/28/2013,people,2653,0,7.33,5.94
4/28/2013,ashamed,2655,0,2.52,5.65
4/28/2013,beautiful,2656,0,7.61,5.71
4/28/2013,love,2657,0,8,5.36
4/29/2013,king,2662,0,6,4.45
4/29/2013,cream,2675,0,6.56,3.8
5/1/2013,right,2699,0,6.45,4.79
5/1/2013,time,2705,0,5.6,3.41
5/1/2013,lack,2706,0,3.68,2.24
5/1/2013,hard,2715,0,5.22,5.12
5/2/2013,understand,2732,0,7.13,5
5/2/2013,good,2735,0,7.89,3.66
5/4/2013,people,2752,0,7.33,5.94
5/5/2013,good,2761,0,7.89,3.66
5/5/2013,day,2763,0,6.66,5
5/5/2013,waffle,2767,0,6.75,4.5
5/7/2013,year,2782,0,5.41,4.22
5/7/2013,know,2791,0,6.93,5.77
5/8/2013,thought,2808,0,6.76,4.16
5/8/2013,world,2818,0,6.5,5.32
5/8/2013,love,2822,0,8,5.36
5/8/2013,sun,2839,0,6.92,4.64
5/10/2013,sleep,2850,0,7.2,2.8
5/10/2013,like,2855,0,7.52,6.63
5/11/2013,love,2866,0,8,5.36
5/12/2013,end,2874,0,3.44,4.44
5/12/2013,family,2878,0,7.65,4.8
5/13/2013,me,2884,0,8.06,5.97
5/14/2013,wet,2894,0,5.57,5.57
5/14/2013,me,2896,0,8.06,5.97
5/14/2013,sloth,2900,0,4.05,2.9
5/15/2013,academy,2910,0,5.32,3.77
5/15/2013,hungry,2911,0,3.54,5.6
5/16/2013,sing,2917,0,7.5,4.1
5/16/2013,week,2927,0,5.35,4.38
5/16/2013,happy,2928,0,8.47,6.05
